DateTime,Entries,UniqueIPs
1510070230,1345,1345
1510072100,1347,1347
1510074138,1343,1343
1510075944,1344,1344
1510077859,1345,1345
1510079770,1305,1305
1510081779,1299,1299
1510083620,1301,1301
1510086770,1301,1301
1510088674,1302,1302
1510090663,1293,1293
1510092516,1343,1343
1510094680,1349,1349
1510096588,1351,1351
1510098542,1351,1351
1510100450,1350,1350
1510102438,1363,1363
1510104269,1365,1365
1510106220,1366,1366
1510108109,1366,1366
1510110116,1363,1363
1510111969,1367,1367
1510115802,1367,1367
1510117754,1368,1368
1510119625,1367,1367
1510123455,1364,1364
1510125466,1378,1378
1510127547,1411,1411
1510129651,1419,1419
1510131622,1415,1415
1510133801,1409,1409
1510135705,1409,1409
1510137668,1408,1408
1510139591,1408,1408
1510141468,1408,1408
1510143407,1408,1408
1510147236,1410,1410
1510149163,1411,1411
1510151079,1362,1362
1510152994,964,964
1510154921,329,329
1510156864,330,330
1510158771,332,332
1510160676,331,331
1510162596,331,331
1510164519,833,833
1510166584,1430,1430
1510168576,1436,1436
1510170488,1439,1439
1510172423,1437,1437
1510174336,1437,1437
1510176250,1436,1436
1510178180,1418,1418
1510180089,1389,1389
1510182028,1385,1385
1510183970,1387,1387
1510186348,1386,1386
1510188285,1374,1374
1510190194,1371,1371
1510192115,1366,1366
1510194060,1367,1367
1510195954,1366,1366
1510197884,1370,1370
1510199943,1372,1372
1510202308,1370,1370
1510204480,1371,1371
1510206385,1373,1373
1510208325,1374,1374
1510210466,1375,1375
1510221149,1366,1366
1510223059,1365,1365
1510225014,1366,1366
1510226920,1367,1367
1510228859,1369,1369
1510230754,1365,1365
1510232686,1365,1365
1510234595,1365,1365
1510236502,1363,1363
1510238429,1362,1362
1510240361,1360,1360
1510242264,1340,1340
1510244204,1323,1323
1510246103,1311,1311
1510248037,1305,1305
1510249939,1047,1047
1510251850,241,241
1510253724,189,189
1510256157,162,162
1510258354,158,158
1510260304,160,160
1510262182,163,163
1510266018,160,160
1510268197,163,163
1510270097,163,163
1510272129,168,168
1510273942,172,172
1510275933,181,181
1510277774,185,185
1510279762,187,187
1510281639,190,190
1510283598,186,186
1510285479,188,188
1510287425,187,187
1510289316,188,188
1510291351,186,186
1510293381,185,185
1510295311,183,183
1510297230,182,182
1510303248,183,183
1510305170,185,185
1510307077,186,186
1510309011,183,183
1510310918,187,187
1510312822,185,185
1510314760,179,179
1510316676,181,181
1510318595,183,183
1510320526,183,183
1510323700,184,184
1510325541,189,189
1510327449,192,192
1510329389,195,195
1510331298,192,192
1510333268,192,192
1510335131,191,191
1510337094,191,191
1510338968,190,190
1510340898,189,189
1510342975,187,187
1510345044,189,189
1510346922,185,185
1510348865,186,186
1510350754,190,190
1510352721,188,188
1510355130,184,184
1510357008,184,184
1510359366,184,184
1510361300,184,184
1510363209,183,183
1510365145,186,186
1510367063,187,187
1510368993,184,184
1510370908,185,185
1510373804,183,183
1510375759,183,183
1510377626,182,182
1510379597,179,179
1510381458,179,179
1510383438,180,180
1510387431,183,183
1510389373,181,181
1510391298,182,182
1510393219,181,181
1510395150,180,180
1510397048,177,177
1510398995,196,196
1510400903,202,202
1510402819,198,198
1510404734,198,198
1510406662,198,198
1510408571,196,196
1510410501,202,202
1510412670,228,228
1510414595,239,239
1510416838,267,267
1510418678,272,272
1510420582,271,271
1510423975,271,271
1510425919,269,269
1510428041,272,272
1510430021,272,272
1510431853,271,271
1510433821,269,269
1510435714,269,269
1510438594,265,265
1510440505,264,264
1510442440,262,262
1510444351,262,262
1510446272,259,259
1510448197,261,261
1510450104,260,260
1510452062,259,259
1510455877,258,258
1510457783,257,257
1510459719,256,256
1510461624,257,257
1510465460,257,257
1510467407,254,254
1510469313,256,256
1510471221,255,255
1510473143,255,255
1510475060,255,255
1510478920,255,255
1510480851,254,254
1510482763,287,287
1510484673,324,324
