DateTime,Entries,UniqueIPs
1509991580,7384,7430
1509992655,7391,7436
1509993610,7396,7441
1509994582,7403,7448
1509995550,7404,7450
1509996492,7398,7444
1509997449,7397,7443
1509998436,7395,7441
1509999373,7398,7443
1510000348,7398,7443
1510001291,7394,7438
1510002275,7402,7446
1510003226,7408,7452
1510005418,7404,7448
1510006349,7407,7452
1510007306,7403,7448
1510008249,7400,7445
1510009251,7407,7452
1510010172,7402,7447
1510011155,7412,7457
1510012092,7407,7452
1510013090,7396,7441
1510014041,7364,7409
1510014976,7340,7384
1510015944,7304,7348
1510016909,7267,7311
1510017850,7249,7293
1510018833,7233,7277
1510019786,7236,7280
1510020757,7238,7281
1510021691,7232,7275
1510022686,7231,7275
1510023631,7225,7269
1510024605,7223,7267
1510025550,7218,7262
1510026500,7230,7276
1510027460,7233,7279
1510028444,7235,7281
1510029373,7237,7282
1510030350,7234,7279
1510031291,7234,7279
1510032275,7236,7280
1510033210,7227,7271
1510034217,7237,7281
1510035137,7232,7276
1510036114,7231,7274
1510037048,7236,7279
1510038037,7231,7273
1510039331,7232,7273
1510040426,7229,7270
1510041388,7236,7277
1510042360,7209,7250
1510043295,7220,7261
1510044254,7209,7250
1510045249,7197,7238
1510046177,7200,7240
1510047148,7185,7225
1510048097,7189,7229
1510049080,7175,7215
1510050029,7168,7208
1510050984,7163,7203
1510051946,7170,7210
1510052897,7173,7213
1510053852,7173,7213
1510054827,7167,7207
1510055808,7166,7206
1510056757,7167,7207
1510057711,7168,7208
1510058654,7182,7222
1510059642,7173,7213
1510060590,7181,7221
1510061550,7177,7217
1510062504,7183,7223
1510063472,7183,7223
1510064687,7178,7219
1510065622,7185,7226
1510066570,7194,7235
1510067557,7188,7228
1510068495,7192,7232
1510069452,7188,7227
1510070442,7189,7228
1510071393,7196,7235
1510072355,7193,7232
1510073291,7192,7231
1510074281,7195,7234
1510075225,7195,7234
1510076182,7188,7227
1510077160,7186,7225
1510078119,7183,7222
1510079051,7183,7222
1510080033,7184,7223
1510080986,7184,7223
1510081951,7186,7225
1510082893,7178,7216
1510083872,7171,7209
1510084825,7170,7208
1510087261,7170,7209
1510088198,7166,7205
1510089151,7161,7200
1510090101,7155,7193
1510091076,7155,7193
1510092013,7152,7190
1510092996,7156,7194
1510093935,7150,7188
1510094920,7153,7191
1510095858,7152,7190
1510096821,7151,7189
1510097783,7154,7192
1510098747,7126,7164
1510099902,7107,7145
1510100901,7113,7152
1510101868,7065,7103
1510102864,7049,7086
1510103786,7056,7093
1510104739,7050,7087
1510105705,7033,7070
1510106678,7023,7060
1510107628,7037,7074
1510108577,7015,7052
1510109544,7019,7056
1510110513,7025,7062
1510111454,7047,7084
1510112426,7043,7080
1510113369,7063,7100
1510114356,7063,7100
1510115295,7059,7096
1510116259,7054,7091
1510117236,7057,7094
1510118197,7059,7096
1510119150,7076,7113
1510120116,7081,7118
1510121059,7096,7133
1510122020,7071,7108
1510122986,7084,7121
1510123952,7076,7113
1510124902,7089,7126
1510125861,7081,7118
1510127088,7071,7108
1510128018,7070,7107
1510128993,7070,7107
1510129967,7074,7111
1510130901,7057,7094
1510131881,7068,7105
1510132812,7066,7103
1510133794,7065,7102
1510134748,7072,7109
1510135698,7073,7109
1510136661,7066,7102
1510137659,7066,7102
1510138584,7057,7093
1510139584,7050,7085
1510140504,7048,7083
1510141461,7053,7088
1510142454,7056,7091
1510143401,7055,7090
1510144342,7055,7090
1510145324,7049,7084
1510146262,7057,7093
1510147229,7055,7091
1510148178,7061,7097
1510149156,7048,7084
1510150091,7054,7090
1510151071,7048,7084
1510152021,7053,7089
1510152987,7040,7076
1510153935,7047,7083
1510154913,7043,7079
1510155858,7051,7087
1510156834,7048,7084
1510157787,7044,7080
1510158765,7057,7093
1510159693,7051,7087
1510160669,7049,7087
1510161623,7058,7096
1510162589,7063,7102
1510163545,7062,7102
1510164511,7063,7103
1510166948,7060,7100
1510167861,7064,7103
1510168842,7065,7103
1510169772,7066,7104
1510170762,7070,7108
1510171691,7066,7104
1510172670,7058,7095
1510173614,7047,7084
1510174599,7035,7072
1510175532,7026,7063
1510176502,7020,7057
1510177467,7015,7053
1510178438,7014,7052
1510179397,7011,7049
1510180357,7011,7049
1510181316,7009,7047
1510182276,7003,7041
1510183469,6999,7037
1510184683,6993,7031
1510185630,6978,7016
1510186835,6953,6992
1510187790,6930,6969
1510188730,6917,6956
1510189706,6910,6949
1510190653,6886,6925
1510191610,6884,6923
1510192593,6895,6934
1510193533,6910,6949
1510194505,6918,6957
1510195454,6934,6973
1510196473,6942,6981
1510197379,6941,6980
1510198348,6941,6980
1510199299,6944,6983
1510200478,6949,6988
1510201463,6964,7003
1510202788,6976,7015
1510203868,6955,6993
1510204950,6950,6988
1510205903,6948,6986
1510206860,6949,6988
1510207831,6958,6997
1510208785,6968,7007
1510209945,6970,7009
1510210966,6966,7005
1510211926,6965,7005
1510212985,6969,7009
1510214321,6979,7019
1510215384,6990,7030
1510216339,6982,7021
1510217315,6975,7014
1510218259,6980,7019
1510221141,6957,6995
1510222103,6978,7015
1510223051,6970,7007
1510224024,6980,7017
1510225007,6971,7008
1510225956,6970,7007
1510226913,6956,6993
1510227854,6963,7000
1510228835,6965,7002
1510229800,6968,7005
1510230747,6968,7005
1510231696,6968,7005
1510232678,6965,7002
1510233624,6967,7004
1510234589,6972,7009
1510235544,6968,7006
1510236495,6973,7011
1510237465,6972,7010
1510238422,6971,7009
1510239381,6968,7006
1510240354,6970,7008
1510241308,6974,7012
1510242258,6975,7013
1510243223,6978,7016
1510244197,6985,7023
1510245133,6991,7029
1510246096,6992,7029
1510247071,6992,7029
1510248029,6994,7030
1510249236,6998,7034
1510250179,6999,7035
1510251136,6999,7035
1510252112,6996,7033
1510253064,6999,7036
1510254054,6998,7035
1510254987,7005,7042
1510255950,7003,7040
1510256895,7013,7050
1510257872,7014,7051
1510258822,7025,7062
1510259772,7028,7065
1510260752,7038,7075
1510261692,7037,7074
1510262666,7028,7065
1510263631,7038,7075
1510264581,7033,7070
1510265546,7040,7077
1510266504,7031,7068
1510268505,7052,7090
1510269609,7049,7088
1510270579,7046,7085
1510271540,7044,7082
1510272493,6976,7014
1510273451,6990,7030
1510274434,7002,7042
1510275371,6988,7027
1510276360,6974,7014
1510277292,6965,7005
1510278276,6966,7006
1510279231,6959,6999
1510280205,6955,6995
1510281149,6958,6998
1510282096,6970,7010
1510283073,6983,7026
1510284032,6976,7018
1510284979,6985,7027
1510285946,7003,7045
1510286894,7007,7050
1510287886,7021,7064
1510288811,7041,7084
1510289811,7050,7093
1510290733,7068,7111
1510291723,7080,7123
1510292655,7090,7134
1510293628,7096,7140
1510294599,7097,7141
1510295547,7114,7158
1510296503,7117,7161
1510297478,7118,7162
1510298416,7123,7167
1510299400,7142,7186
1510300337,7159,7203
1510301306,7164,7208
1510302249,7166,7210
1510303241,7169,7213
1510304170,7168,7212
1510305163,7167,7211
1510306093,7166,7210
1510307071,7178,7222
1510308025,7171,7215
1510309004,7174,7218
1510309936,7172,7216
1510310912,7177,7221
1510311862,7183,7227
1510312815,7194,7238
1510313793,7200,7244
1510314752,7212,7255
1510315695,7212,7255
1510316669,7218,7261
1510317623,7220,7263
1510318588,7222,7265
1510319543,7222,7265
1510320519,7221,7264
1510321449,7227,7270
1510322446,7230,7272
1510323693,7221,7264
1510324807,7234,7277
1510325778,7231,7274
1510326741,7229,7272
1510327688,7230,7273
1510328665,7230,7273
1510329611,7239,7282
1510330589,7237,7280
1510331546,7241,7284
1510332522,7246,7289
1510333463,7249,7292
1510334431,7256,7299
1510335386,7257,7300
1510336344,7263,7306
1510337292,7265,7308
1510338265,7268,7311
1510339212,7267,7310
